File ID,ENGLISH,ARABIC,FRENCH,GERMAN,RUSSIAN,SPANISH
265,Where is the nearest hospital?,Aina aqrabo mustashfa?,Où se trouve l'hôpital le plus proche ?,Wo ist das nächste Krankenhaus?,Gde nahoditsya blizhayshaya bol'nitsya?,¿Dónde está el hospital más cercano?
266,She has broken her leg,Laqad kasarat saaqaha,Elle s'est cassé la jambe,Sie hat Ihr Bein gebrochen,Ona slomala nogu,Se ha roto la pierna
267,I will prescribe you some medication,sawfa asefo lak ba'da al adweya,Je vais vous prescrire des médicaments,Ich werde Ihnen einige Medikamente verschreiben,Ya vypishu vam neskol'ko lekarstv,Le recetaré algo de medicación
268,I would like to report a crime,awaddo al eblagha Aan Jarima,Je voudrais signaler un crime,Ich möchte ein Verbrechen melden,Ya khotel by soobshit' o prestuplenii,Me gustaría denunciar un crimen
269,My wallet has been stolen,mahfathati soreqat,On a volé mon porte-monnaie,Mein Portemonnaie wurde gestollen,U menya ukrali bumazhnik,Me han robado la cartera
,Numbers,Al arqam ,Chiffres,Nummern,Chisla,Números
270,Numbers,Arqam ,Chiffres,Nummern,Chisla,Números
271,One,wahed,Un,Eins,Odin,Uno
272,Two,ethnan,Deux,Zwei,Dva,Dos
273,Three,thalatha,Trois,Drei,Tri,Tres
274,Four,arba'a,Quatre,Vier,Chetyre,Cuatro
275,Five,khamsa,Cinq,Fünf,Pyat',Cinco
276,Six,setta,Six,Sechs,Shest',Seis
277,Seven,saba'a,Sept,Sieben,Sem',Siete
278,Eight,thamaniya,Huit,Acht,Vosem',Ocho
279,Nine,tesa'a,Neuf,Neun,Devyat',Nueve
280,Ten,A'ashara,Dix,Zehn,Desyat',Diez
281,Eleven,Ahad Ashar,Onze,Elf,Oddinnadtsat',Once
282,Twelve,Ethna Ashar,Douze,Zwölf,Vdenadtsat',Doce
283,Thirteen,thalathata Ashar,Treize,Dreizehn,Trinadtsat',Trece
284,Fourteen,arbaa'ta ashar,Quatorze,Vierzehn,Chetyrnadtsat',Catorce
285,Fifteen,khamsata ashar,Quinze,Fünfzehn,Pyatnadtsat',Quince
286,Sixteen,settata ashar,Seize,Sechzehn,Shestnadtsat',Dieciséis
287,Seventeen,saba'ata ashar,Dix-sept,Siebzehn,Semnadtsat',Diecisiete
288,Eighteen,Thamaniyata ashar,Dix-huit,Achtzehn,Vosemnadtsat',Dieciocho
289,Nineteen,tes'ata ashar,Dix-neuf,Neunzehn,Devyatnadtsat',Diecinueve
290,Twenty,E'shroon,Vingt,Zwanzig,Dvadtsat',Veinte
291,Fifty,khamsoon,Cinquante,Fünfzig,Pyatdesyat,Cincuenta
292,Hundred,Me'aa,Cent,Hunderd,Sto,Cien
293,Thousand,Alf,Mille,Tausend,Tysyacha,Mil
294,It is my first time in Delhi,Ennaha awalo marratin azooro Delhi,C'est la première fois que je viens à Delhi,Es ist mein erstes Mal in Delhi,Eto moy pervyy vizit d Del,Esta es mi primera vez en Delhi
295,This is my second complaint,hathehe shakwaiya al thaniya,C'est ma deuxième réclamation,Es ist meine zweite Beschwerde,Eto moya vtoraya zhaloba,Esta es mi segunda queja
296,Turn right at the third traffic light,En'atef yamenan enda al esharati al daw'eyati al thaletha,Tournez à gauche au troisième feu ,Biegen Sie rechst ab an der dritten Ampel,Na tret'yem svetofore povernite napravo,Gire a la derecha en el tercer semáforo
,Days & Months,al ayyam wal ash-hor,Jours et mois,Tage und Monate,Dni i mesyatsy,Días y meses
297,Days and Months,ayyamon wa ash-hor,Jours et mois,Tage und Monate,Dni i mesyatsy,Días y meses
298,Monday,al ethnain,Lundi,Montag ,Ponedel'nik,Lunes
299,Tuesday,al tholatha'a,Mardi,Dienstag,Vtornik,Martes
300,Wednesday,al arbea'a,Mercredi,Mittwoch,Sreda,Miércoles
301,Thursday,al khamees,Jeudi,Donnerstag,Chetverg,Jueves
302,Friday,al joma'a,Vendredi,Freitag,Pyatnitsya,Viernes
303,Saturday,al sabt ,Samedi,Samstag,Subbota,Sábado
304,Sunday,al ahad,Dimanche,Sonntag,Voskreseniye,Domingo
305,Weekend,Otlato nehayati al esbou'a,Weekend,Wochenende,Vykhodnyye,Fin de semana
306,Today,al yowm ,Aujourd'hui,Heute,Segodnya,Hoy
307,Yesterday,Ams ,Hier,Gestern,Vchera,Ayer
308,Tomorrow,Ghadan,Demain,Morgen,Zavtra,Mañana
309,Holiday,Otla,Vacances,Urlaub,Prazdnik,Vacaciones
310,It will take two working days to deliver,sawfa tastaghreqo yawmaiy amal lettawseel,La livraison prendra deux jours ouvrés,Es dauert zwei Werktage für die Lieferung,Dostavka zaymet dva rabochikh dnya,El envío tardará dos días laborables
311,January,yanayer,Janvier,Januar,Yanvar',Enero
312,February,febrayer,Février,Februar,Fevral',Febrero
313,March,maris,Mars,März,Mart,Marzo
314,April,abbreel,Avril,April,Aprel',Abril
315,May,mayo,Mai,Mei,May,Mayo
316,June,yonyo,Juin,Junie,Iyun',Junio
317,July,yolyo,Juillet,Julie,Iyul',Julio
318,August,aughostos,Août ,August,Avgust,Agosto
319,September,september,Septembre,September,Sentyabr',Septiembre
320,October,october,Octobre,October,Oktyabr',Octubre
321,November,november,Novembre,November,Noyabr',Noviembre
322,December,december ,Décembre,Dezember,Dekabr',Diciembre
323,Month,shaher,Mois,Monat,Mesyats,Mes
324,Year,sana,Année,Jahr,Kod,Año
325,When is your birthday,mata yakouno yowmo meladak,Quand est ton anniversaire ?,Wann ist Ihr Geburtstag?,Kogda u tebya den' rozhdeniya?,¿Cuándo es tu cumpleaños?
326,My birthday is tomorrow,yowmo meladi ghadan ,Mon anniversaire est demain,Ich habe morgen Geburtstag,Moy den' rozhdeniya budet zavtra,Mi cumpleaños es mañana
,Time,al waqt ,Temps,Zeit,Vremya,Hora
327,Time,waqt ,Temps,Zeit,Vremya,Hora
328,Morning,sabah,Matin,Morgen,Utro,Mañana
329,Afternoon,ba'ada al thaheera,Après-midi,Nachmittag,Posle poludnya,Tarde
330,Evening,masa'a,Soir,Abend,Vecher,Noche
331,Night,lail,Nuit,Nacht,Noch',Noche
332,Noon,montasafo al thaheera,Midi,Mittag,Polden',Mediodía
333,Now,al'an ,Maintenant,Jetzt,Seychas,Ahora
334,Later,laheqan,Plus tard,Später,Pozzhe,Más tarde
335,Sunrise,shorouq,Lever de soleil,Sonnenaufgang,Voskhod,Amanecer
336,Sunset,ghoroub,Coucher de soleil,Sonnenuntergang,Zakat,Atardecer
337,One o'clock,al sa'aato al waheda,Une heure,Ein Uhr,Odin chas,Una en punto
338,Quarter past Two,al thaniyato wa al robo'a,Deux heures et quart,Viertel nach Zwei,Chetvert' tret'yego,Las dos y cuarto
339,Half past eight,al thaminato wa al nesf,Huit heures et demie,Halb Neun,Poldevyatogo,Las ocho y media
340,What is the time?,ma howa al waqt?,Quelle heure est-il ?,Wie spät ist es?,Skol'ko vremeni?,¿Qué hora es?
341,I'll be there in 5 minutes,sa'akouno honaka ba'ada khamsi daqa'eq,Je serai là dans cinq minutes,Ich werde in fünf Minuten da sein,Ya budu tam cherez pyat' minut,Estaré ahí en 5 minutos
342,It is 5 hours to Delphi,taba'odo delhi khamsa sa'at,Il y a cinq heures jusqu'à Delphi,Es ist fünf Stunden bis Delphi,Do Deli mozhno dobratsya za pyat' chasov,Son 5 horas hasta Delphi
343,Please wake me up at seven o'clock,min fadlek ayqethni fi el sa'aati al sabe'aa,Réveillez-moi à sept heures s'il vous plait,Bitte weck mich um sieben Uhr auf,"Pozhaluysta, razbudite menya v sem' chasov","Por favor, despiérteme a las siete en punto"
344,The train leaves at 9 o'clock,yoghadero al qetaro fi al sa'aati al tase'aati sabahan,Le train part à neuf heures,Der Zug fährt um Neun Uhr,Poezd otpravlyaetsya v devyat' chasov,El tren sale a las 9 en punto
,Family,al Aa'ela,Famille,Familie,Semya,Familia
345,Family,A'ela,Famille,Familie,Semya,Familia
346,Mother,Om ,Mère,Mutter,Mat',Madre
347,Father,Abb,Père,Vater,Otets,Padre
348,Brother,Akh,Frère,Bruder,Brat,Hermano
349,Sister,Okht,Sœur,Schwester,Sestra,Hermana
350,Son,Ibn ,Fils,Sohn,Syn,Hijo
351,Daughter,Ibna,Fille,Tochter,Doch,Hija
352,Husband,zawj,Mari,Ehemann,Muzh,Marido
353,Wife,zawja,Femme,Ehefrau,Zhena,Esposa
354,Uncle,Aam,Oncle,Onkel,Dyadya,Tío
355,Aunt,Amma,Tante,Tante,Tetya,Tía
356,Niece,Ibnato akh,Nièce,Nichte ,Plemyannitsa,Sobrina
357,Nephew,Ibno akh,Neveu,Neffe,Plemyannik,Sobrino
358,Cousin (male),Ibno a'amm (mothakkar),Cousin,Cousin,Dvoyurodnyy brat,Primo
359,Cousin (female),ebnato a'amm (moa'annath),Cousine,Cousine,Dvoyurodnaya sestra,Prima
360,Friend,sadeeq,Ami,Freund,Drug,Amigo
361,I have two sisters,ladayya Okhtan,J'ai deux sœurs,Ich habe zwei Schwestern,U menya dve sestry,Tengo dos hermanas
362,I have three younger brothers,ladayya thalathato ekhwatin asgharo sennan,J'ai trois petits frères,Ich habe drei jüngere Brüder,U menya troye mladshikh brat'yev,Tengo tres hermanos pequeños
363,My parents live in Berlin,walidaiya ya'eshani fi Barlin,Mes parents vivent à Berlin,Meine Eltern wohnen in Berlin,Moi roditeli zhivut v Berline,Mis padres viven en Berlín
364,Grandfather,Jadd,Grand-père,Großvater,Ded,Abuelo
365,Grandmother,Jadda,Grand-mère,Großmutter,Babushka,Abuela
366,Grandson,hafeed,Petit-fils,Enkelsohn,Vnuk,Nieto
367,Granddaughter,hafeeda,Petite-fille,Enkeltochter,Vnuchka,Nieta
368,My relatives are visiting us in Spain,aqarebi yazoronana fi espanya ,Ma famille vient nous voir en Espagne,Meine Verwandten besuchen uns in Spanien,Moi rodstvenniki gostyat u nas v Ispanii,Mis familiares nos están visitando en España
,Travel Agent,wakalet safar ,Agent de voyage,Reisebüro,Turagent,Agente de viajes
369,Travel Agent,wakalato safar,Agent de voyage,Reisebüro,Turagent,Agente de viajes
370,Flight,rehla ,Vol,Flug,Reys,Vuelo
371,Airline,sherkato tayaran,Compagnie aérienne,Fluggesellschaft,Aviyakompaniya,Aerolínea
372,Destination,wejhaa,Destination,Reiseziel,Mesto naznacheniya,Destino
373,Arrival ,wosool,Arrivée,Ankunft,Pribytiye,Llegada
374,Departure,moghadara ,Départ,Abflug,Ot'ezd,Salida
375,Ticket,tathkara,Billet,Ticket/Flugschein,Bilet,Billete
376,Passport,jawazo essafar,Passeport,Pass,Pasport,Pasaporte
377,Immigration,hejra,Immigration,Einwanderung,Immigratsionnyy kontrol',Inmigración
378,Visa,ta'shera ,Visa,Visum,Viza,Visado
379,Where are the Duty Free Shops?,Aina makano al aswaqi al horra,Où est le Duty-Free ?,Wo sind die Duty Free Geschäfte?,Gde nakhodyatsya magaziny besposhlinnoy torgovli?,¿Dónde están las tiendas libres de impuestos?
380,Pilot,tayyar ,Pilote,Pilot,Pilot,Piloto
381,Flight Attendant,modeef,Agent de bord,Flugbegleiterin,Styuardessa,Asistente de vuelo
382,Island vacation,ejazaton fi jazeera,Vacances dans les îles,Insel Urlaub,Otdykh na ostrovakh,Vacaciones en una isla
383,Business or pleasure?,Amalon aw tarfeeh?,Pour le travail ou pour des vacances ?,Geschäftlich oder privat?,Po delam ili dlya udovol'stviya?,¿Negocios o placer?
384,Honeymoon,shaharo Asal,Lune de miel,Flitterwochen,Medoviy mesyats,Luna de miel
385,Itinerary,masaro errehla ,Itinéraire,Reiseroute,Marshrut,Itinerario
386,Package deal,safqaton shamela,Formule forfaitaire,Pauschalangebot,Paketnoye predlozheniye,Oferta con todo incluido
387,I would like to book a trip,awaddo hajza rehla ,Je voudrais réserver un voyage,Ich möchte eine Reise buchen,Ya khotel by priobresti puteshestviye,Me gustaría reservar un viaje
388,I would like to stop over in Madrid,awaddo ann atawaqafa fi Madrid,Je voudrais faire escale à Madrid,Ich möchte in Madrid einen Zwischenstopp einlegen,Ya khotel by ostanovitsya v Madride po puti,Me gustaría detenerme en Madrid
389,We are a group,nahno majmo'aa,Nous sommes un groupe,Wir sind eine Gruppe,My yavlyaemsya gruppoy,Somos un grupo
390,My family and I,A'elati wa ana ,Ma famille et moi,Meine Familie und ich,Moya sem'ya i ya,Mi familia y yo
391,Transit,morooron A'ber ,Transit,Transit,Tranzit,Tránsito
392,What is the baggage weight allowance?,ma howa al haddo al masmouho behi lewazni al A'mte'a ,Quel est le poids autorisé pour les bagages ?,Wieviel Kilogramm Freigepäck ist erlaubt?,Kakova norma bagazha po vesu?,¿Cuál es el peso del equipaje permitido?
393,I have nothing to declare at customs,laisa endi ma osarreho behi fi el jamarek,Je n'ai rien à déclarer à la douane,Ich habe nichts zu verzollen,Mne nechego deklarirovat' na tamozhne,No tengo nada que declarar en la aduana.
394,Airport Tax,darebato al mataar,Taxe d'aéroport,Flughafensteuer,Aeroportovyy sbor,Tasas de aeropuerto
395,Aeroplane,ta'era,Avion,Flugzeug,Samolet,Avión
396,Would you like a window or aisle seat?,hal targhabo fi maq'addin ala al nafethati aw al mamar?,Voulez-vous un siège côté hublot ou côté couloir ?,Möchten Sie einen Fenster- oder Gangplatz?,Vy khoteli by mesto u okna ili u prokhoda?,¿Le gustaría un asiento de ventana o un asiento de pasillo?
397,You should arrive 2 hours before your flight,alaika ann tasela qabla rehlatek be sa'atain,Vous devez arriver deux heures avant votre vol,Sie sollen zwei Stunden vor Abflug eintreffen ,Vam nuzhno priekhat' za dva chasa do vashego reysa,Debería llegar 2 horas antes de su vuelo
398,The flight is delayed,laqad ta'akharat al rehla ,Le vol est retardé,Der Flug is verspätet,Reys zaderzhivaetsya,El vuelo está retrasado
399,Would you like a seat in economy or business class?,hal targhabo fi maq'ad ala al darajati al seyahiyyati aw darajati rejali al a'mal?,Voulez-vous être en classe économique ou affaires ?,Möchten Sie einen Sitzplatz in Economy oder Businessklasse?,Vy zhelaete mesto v ekonom- ili biznes-klasse?,¿Le gustaría un asiento en clase económica o business?
400,You may wait in the airport lounge,yomkenoka al entetharo fi salati al mataar ,Vous pouvez attendre dans le salon de l'aéroport,Sie können in der Flughafen-Lounge warten,Vy mozhete podozhdat' v zale ozhidaniya aeroporta,Puede esperar en la sala de espera del aeropuerto
401,Where is gate number….?,aina raqamo al bawwabati?,Où est la porte numéro … ?,Wo ist Flugsteignummer…?,Gde nakhodyatsya vykhod na posadku nomer…?,¿Dónde está la puerta número ...?
,Seasons & Weather,al mawasem wa al taqs,Saisons et temps,Saison und Wetter,Vremena goda i pogoda,Estaciones y tiempo
402,Season,mawsem ,Saison,Saison,Vremena goda,Estación
403,Weather,taqs,Temps,Wetter,Pogoda,Tiempo
404,Summer,saiyf,Eté ,Sommer,Leto,Verano
405,Winter,sheta',Hiver,Winter,Zima,Invierno
406,Spring,rabee',Printemps,Frühling,Vesna,Muelle
407,Autumn,khareef,Automne,Herbst,Osen',Otoño
408,Monsoon,reyahun mawsimiyya,Mousson,Monsun,Musson,Monzón
409,Cold,baared ,Froid,Kalt,Kholodno,Frío
410,Warm,daafe',Doux,Warm,Teplo,Cálido
411,Hot,haarr,Chaud,Heiß,Zharko,Calor
412,Snow,thalj,Neige,Schnee,Sneg,Nieve
413,Sun,shams,Soleil,Sonne,Solntse,Sol
414,Rain,matar,Pluie,Regen,Dozhd',Lluvia
415,Hail,barad,Grêle,Hagel,Grad,Granizo
416,Dust Storm,Aasefatun ramliyya,Tempête de poussière,Sandsturm,Pyl'naya burya,Tormenta de polvo
417,Cloudy,gha'em,Nuageux,Bewölkt,Oblachno,Nublado
418,Humidity,rotoba,Humidité,Luftfeuchtigkeit,Vlazhnost',Humedad
,Feelings,al masha'er,Sentiments,Gefühle,Chuvstva,Sentimientos
419,I feel…,ash'oro,Je me sens…,Ich fühle mich…,Ya chuvstvuyu sebya…,Me siento...
420,Happy,sa'eed,Heureux,Glücklich,Schastlivyy,Feliz
421,Sad,hazeen,Triste,Traurig,Pechalnyy,Triste
422,Angry,ghadeb,En colère,Wütend,Serdityy,Furioso
423,Love,hobb,Amour,Liebe,Lyubit',Amor
424,Hate,karahiya,Haine,Hassen,Nenavidet',Odio
425,Dislike,la yo'jeboni,Dégoût,Nicht mögen,Ne nravitsya,No me gusta
426,Excited ,motahammes,Excité,Freuen,Vozbuzhdennyy,Emocionado
427,Tired,mot'aab,Fatigué,Müde,Ustavshiy,Cansado
428,We were very tired after a twelve hour flight,konna mot'abeen jeddan ba'd rehlatin estaghraqat ethnay a'sharata sa'aa,Nous étions fatigués après douze heures de vol,Wir waren sehr müde nach einem Flug von zwölf Stunden,My ochen ustali posle dvenadtsati chasov poleta,Estábamos muy cansados tras un vuelo de doce horas
429,I'm excited about my trip to Athens,ana mutahammesson le rehlati ela athena,Je suis tout excité de partir en voyage à Athènes,Ich freue mich auf meine Reise nach Athen,Ya ochen rad moey poezdke v Afine,Estoy emocionado por mi viaje a Atenas
430,The waiter was happy to help us find our way,kan al nadelo sa'eedan le musa'adatena fi al othoori ala tareqena ,Le serveur était heureux de nous aider à trouver notre chemin,Der Kellner hat sich gefreut uns zu helfen,Ofitsiant byl rad pomoch' nam nayti dorogu,El camarero fue muy amable al ayudarnos a encontrar el camino
431,Bad service makes me angry,al khedmato al saye'aato taja'loni ghadeban,Le mauvais service me met en colère,Schlechte Bedienung regt mich auf,Menya zlit plokhoe obsluzhivaniye,El mal servicio me pone furioso
432,I love you,ana Ohebbok,Je t'aime,Ich liebe dich,Ya lyublyu tebya,Te quiero
433,I like cake,ana ohebbo al ka'ak ,J'aime les gâteaux,Ich mag Kuchen,Mne nravitsya tort,Me gusta la tarta
,Profession,al mehna,Profession,Beruf,Professiya,Profesión
434,I work for…,ana a'amalo le..,Je travaille pour …,Ich arbeite für…,Ya rabotayu v…,Trabajo para ...
435,What do you do for a living?,matha ta'malo le kasbi luqmati aishek?,Que faites-vous dans la vie ?,Was machen Sie beruflich?,Chem vy zarabatyvayete sebe na zhizn'?,¿A qué te dedicas?
436,I run my own company,ana odeero sharekati al khassa,Je dirige ma propre entreprise,Ich betreibe mein eigenes Geschäft,Ya upravlyayu sobstvennoy kompaniey,Dirijo mi propia empresa
437,I own a book shop,ana amloko maktaba,Je tiens une librairie,Ich besitze eine Buchhandlung,Ya vladeyu knizhnym magazinom,Tengo una tienda de libros
438,Salesperson,ba'ea',Vendeur,Verkäufer,Prodavets,Vendedor
439,Manager,modeer,Directeur,Geschäftsführer,Menedzher,Gerente
440,Doctor,tabeeb,Docteur,Arzt,Vrach,Doctor
441,Lawyer,mohami,Avocat,Rechtsanwalt,Yurist,Abogado
442,Singer,moghanni,Chanteur,Sänger,Pevets,Cantante
443,Writer ,kateb ,Ecrivain,Schriftsteller,Pisatel',Escritor
444,Teacher,mo'allem,Professeur,Lehrer,Uchitel',Profesor
445,Driver,sa'eq,Chauffeur,Fahrer,Voditel',Conductor
446,Businessman,rajolo a'mal,Homme d'affaires,Geschäftsmann,Biznesmen,Hombre de negocios
447,Chef,tabbakh,Chef cuisinier,Koch,Shef-povar,Chef
448,Architect,muhandesson me'mari,Architecte,Architect,Arkhitektor,Arquitecto
449,Designer,musammem,Designer,Mediengestalter,Dizayner,Diseñador
450,Student,taleb ,Etudiant,Student,Student,Estudiante
451,IT Specialist,ekhtesasiyyo technologia al ma'loomat,Spécialiste en informatique,IT-Spezialist,IT-spetsialist,Especialista informático
452,Engineer,muhandes me'mari,Ingénieur,Ingenieur,Inzhener,Ingeniero
453,Artist,fannan,Artiste,Künstler ,Artist,Artista
454,I am in marketing,ana fi majali al tasweeq,Je suis dans le marketing,Ich bin in dem Marketingbereich,Ya rabotayu v sfere marketinga,Estoy en marketing
455,I am an accountant,ana muhaseb,Je suis comptable,Ich bin ein Buchhalter,Ya bukhgalter,Soy contable
456,I'm studying physics,ana adroso al fezya',J'étudie la physique,Ich studiere Physik,Ya zanimayus izucheniyem fiziki,Estudio física
457,Actor,mumathel,Acteur,Schauspieler,Akter,Actor
458,Actress,mumathela,Actrice,Schauspielerin,Aktrisa,Actriz
459,Consultant,esteshariy,Consultant,Berater,Konsul'tant,Consultor
460,Career,wathefa,Carrière,Karriere,Kar'era,Profesión
461,Counsellor,mustashar,Conseiller,Ratgeber,Sov'etnik,Consejero
462,Office,maktab,Bureau,Büro,Ofis,Oficina
,Colours,al alwan ,Couleurs,Farben,Tsveta,Colores
463,Red,ahmar ,Rouge,Rot,Krasnyy,Rojo
464,Orange,burtoqali,Orange,Orange,Oranzhevyy,Naranja
465,Yellow,asfar,Jaune,Gelb,Zheltyy,Amarillo
466,Green,akhdar,Vert,Grün,Zelenyy,Verde
467,Blue,azraq,Bleu,Blau,Sinyy,Azul
468,Purple,banafsajiy,Violet,Lila,Purpurnyy,Morado
469,Pink,zahriy,Rose,Rosa,Rozovyy,Rosa
470,Gold,thahabiy,Or ,Gold,Zolotoy,Oro
471,Silver,feddiy,Argent,Silber,Serebryanyy,Plata
472,White,abyad,Blanc,Weiß,Belyy,Blanco
473,Black,aswad,Noir,Schwarz,Chernyy,Negro
474,Avoid the dark alley way,tajannab el tareeqa al mothlem,Evitez les ruelles sombres,Vermeiden Sie die dunkle Gasse,Izbegayte temnykh pereulkov,Evite el callejón oscuro
475,The curtains let too much light into the room,al sata'ero tasmaho lel katheeri min al dou'ee el adokhooli ela al ghorfa,Les rideaux laissent passer trop de lumière dans la pièce,Die Gardinen lassen zu viel Licht ins Zimmer,Shtory propuskayut slishkom mnogo sveta v komnatu,Las cortinas dejan pasar demasiada luz a la habitación
476,I'm looking for a grey suit,ana abhatho ann badlatin ramadiyya,Je cherche un costume gris,Ich suche einen grauen Anzug,Ya ishu seriy kostyum,Estoy buscando un vestido gris
,Meeting New People,muqabalat ash-khas jodud,Rencontrer de nouvelles personnes,Neue Leute kennenlernen,Znakomstva s novymi lyud'mi,Conocer a nuevas personas
477,Where are you from?,min aina ant?,D'où venez-vous ?,Woher kommen Sie?,Otkuda vy?,¿De dónde es usted?
478,I am from United Arab Emirates,ana min al emarati al arabiyyati al mutahida,Je viens des Emirats arabes unis,Ich bin aus den Vereinigten Arabischen Emiraten,Ya iz Ob'edinennykh Arabskikh Emiratov,Soy de los Emiratos Árabes Unidos
479,I live in Toronto,ana a'eesho fi torento ,Je vis à Toronto,Ich wohne in Toronto,Ya zhivu v Toronto,Vivo en Toronto
480,What are your hobbies?,ma hiya hiwayaatok?,Quels sont vos loisirs ?,Was sind Ihre Hobbies?,Kakie u vas uvlecheniya?,¿Qué aficiones tiene?
481,I like listening to music,ana ohebbo al estema'a ela al musiqa,J'aime écouter de la musique,Ich höre gerne Musik,Ya lyublyu slushat' muzyku,Me gusta escuchar música
482,I like riding motorbikes,ana ohebbo rukooba addarrajati al nariyya,J'aime faire de la moto,Ich fahre gerne Motorrad,Mne nravitsya ezdit' na mototsyklakh,Me gusta montar en moto
483,Are you married?,hal anta mutazawej?,Êtes-vous marié ?,Sind Sie verheiratet?,Vy zhenaty (zamuzhem)?,¿Está casado?
484,I am single,ana a'azab,Je suis célibataire,Ich bin ledig,Ya kholost (ne zamuzhem),Estoy soltero
485,What is your favourite movie?,ma howa filmoka al mufaddal ?,Quel est votre film préféré ?,Was ist Ihr Lieblingsfilm?,Kakoy vas lyubimyy film?,¿Cuál es su película favorita?
486,I like action and comedy,ana ohebbo aflama al harakati wal Comedia ,J'aime les films d'action et les comédies,I mag gerne Komödie und Actionfilme,Mne nravyatsya boeviki I komedii,Me gusta la acción y la comedia
487,Have you travelled to many places?,hal safrta ela amakena a'deeda,Avez-vous beaucoup voyagé ?,Sind Sie schon viel gereist?,Vy mnogo gde puteshestvovali?,¿Ha viajado a muchos lugares?
488,"Yes, I have travelled through Europe","na'am, safarto hawla Ouroppa","Oui, j'ai voyagé dans toute l'Europe","Ja, ich bin durch Europa gereist","Da, ya puteshestvoval po vsey Yevrope","Sí, he viajado por toda Europa"
489,Is this seat taken?,hal hatha al maq'ado ma'khooth?,Est-ce que cette place est prise ?,Ist dieser Platz frei?,Eto mesto zanyato?,¿Está ocupado este asiento?
490,I like your sense of humour!,ohebbo rouha al do'aaba allati tatahalla beha!,J'aime votre sens de l'humour !,Ich mag Ihren Humor!,Mne nravitsya vashe chuvstvo yumora!,¡Me gusta su sentido del humor!
491,"Thanks, I appreciate that.","shukran, ana oqaddero thalek.","Merci, j'apprécie cela.","Vielen Dank, sehr nett von Ihnen.","Spasibo, ya tsenyu eto","Gracias, se lo agradezco."
492,Would you like to share a sushi platter?,hal targhabo fi musharaketi tabaqin min al sushi?,Voudriez-vous partager un plat de sushis ?,Möchten Sie eine Sushiplatte teilen?,Ne khoteli by vy razdelit' so mnoy blyudo s sushi?,¿Le gustaría compartir una bandeja de sushi?
493,That's nice!,hatha lateef,C'est super !,Das ist schön!,Prekrasno!,¡Estaría bien!
